reach,flow_cfs,reach_lag_hours,reach_loss_fraction
por_to_lfalls,10,48,0
por_to_lfalls,500,30,0
por_to_lfalls,2500,24,0
por_to_lfalls,5000,18,0
por_to_lfalls,12500,12,0
por_to_lfalls,100000,9,0
por_to_lfalls,2000000,7,0
monoc_to_pot,5,36,0.05
monoc_to_pot,100,30,0.05
monoc_to_pot,1000,24,0
monoc_to_pot,2500,18,0
monoc_to_pot,100000,9,0
monoc_to_pot,2000000,5,0
goose_to_pot,0.5,24,0
goose_to_pot,500,18,0
goose_to_pot,2000,12,0
goose_to_pot,100000,6,0
goose_to_pot,2000000,3,0
seneca_to_pot,0.5,18,0
seneca_to_pot,50,12,0
seneca_to_pot,500,6,0
seneca_to_pot,100000,3,0
seneca_to_pot,2000000,1,0
